b0,K,working_set_kb,median_ns,gflops,ns_per_row
1,2560,10.00,158,32.4051,158.00
2,2560,15.01,176,58.1818,88.00
3,2560,20.01,252,60.9524,84.00
4,2560,25.02,339,60.4130,84.75
6,2560,35.02,515,59.6505,85.83
8,2560,45.03,680,60.2353,85.00
10,2560,55.04,850,60.2353,85.00
12,2560,65.05,1022,60.1174,85.17
16,2560,85.06,1358,60.3240,84.88
20,2560,105.08,1691,60.5559,84.55
24,2560,125.09,2025,60.6815,84.38
32,2560,165.12,2693,60.8392,84.16
40,2560,205.16,3362,60.9161,84.05
48,2560,245.19,4032,60.9524,84.00
64,2560,325.25,5387,60.8279,84.17
80,2560,405.31,6724,60.9161,84.05
96,2560,485.38,8068,60.9222,84.04
128,2560,645.50,11886,55.1371,92.86
160,2560,805.62,16199,50.5710,101.24
192,2560,965.75,19941,49.2974,103.86
256,2560,1286.00,38025,34.4700,148.54
320,2560,1606.25,56756,28.8674,177.36
384,2560,1926.50,72480,27.1258,188.75
512,2560,2567.00,97667,26.8406,190.76
