model,numa,system,stage,threads,repeat,thread_id,numa_domain,compute_us,barrier_us
qwen4b,1n,fj,decode,24,1,0,0,181574.4,18531.2
qwen4b,1n,fj,decode,24,1,1,0,183039.1,17111.8
qwen4b,1n,fj,decode,24,1,2,0,181089.0,19045.3
qwen4b,1n,fj,decode,24,1,3,0,180773.8,19363.8
qwen4b,1n,fj,decode,24,1,4,0,181696.2,18438.0
qwen4b,1n,fj,decode,24,1,5,0,182265.6,17869.1
qwen4b,1n,fj,decode,24,1,6,0,181034.5,19063.2
qwen4b,1n,fj,decode,24,1,7,0,181408.2,18680.3
qwen4b,1n,fj,decode,24,1,8,0,180381.5,19699.6
qwen4b,1n,fj,decode,24,1,9,0,181140.2,18946.0
qwen4b,1n,fj,decode,24,1,10,0,181175.1,18884.7
qwen4b,1n,fj,decode,24,1,11,0,183335.0,16721.2
qwen4b,1n,fj,decode,24,1,12,0,181587.9,18465.5
qwen4b,1n,fj,decode,24,1,13,0,182226.8,17827.0
qwen4b,1n,fj,decode,24,1,14,0,181351.1,18708.7
qwen4b,1n,fj,decode,24,1,15,0,181330.2,18730.8
qwen4b,1n,fj,decode,24,1,16,0,181090.5,18964.1
qwen4b,1n,fj,decode,24,1,17,0,182670.1,17368.9
qwen4b,1n,fj,decode,24,1,18,0,181787.9,18250.4
qwen4b,1n,fj,decode,24,1,19,0,183342.2,16696.1
qwen4b,1n,fj,decode,24,1,20,0,181234.6,18810.5
qwen4b,1n,fj,decode,24,1,21,0,180439.8,19613.3
qwen4b,1n,fj,decode,24,1,22,0,180344.6,19859.3
qwen4b,1n,fj,decode,24,1,23,0,178240.1,21953.3
qwen4b,1n,fj,decode,24,2,0,0,182454.9,17752.3
qwen4b,1n,fj,decode,24,2,1,0,181932.8,18318.1
qwen4b,1n,fj,decode,24,2,2,0,180521.0,19713.5
qwen4b,1n,fj,decode,24,2,3,0,181607.2,18623.4
qwen4b,1n,fj,decode,24,2,4,0,182040.3,18188.5
qwen4b,1n,fj,decode,24,2,5,0,181253.3,18978.3
qwen4b,1n,fj,decode,24,2,6,0,181164.3,19011.5
qwen4b,1n,fj,decode,24,2,7,0,182141.3,18030.7
qwen4b,1n,fj,decode,24,2,8,0,180342.7,19826.6
qwen4b,1n,fj,decode,24,2,9,0,181084.9,19097.3
qwen4b,1n,fj,decode,24,2,10,0,183076.6,17084.4
qwen4b,1n,fj,decode,24,2,11,0,181589.8,18586.3
qwen4b,1n,fj,decode,24,2,12,0,182926.0,17244.9
qwen4b,1n,fj,decode,24,2,13,0,181247.6,18928.5
qwen4b,1n,fj,decode,24,2,14,0,181983.0,18178.7
qwen4b,1n,fj,decode,24,2,15,0,180925.5,19257.6
qwen4b,1n,fj,decode,24,2,16,0,182760.8,17410.9
qwen4b,1n,fj,decode,24,2,17,0,182505.2,17653.0
qwen4b,1n,fj,decode,24,2,18,0,183288.7,16880.1
qwen4b,1n,fj,decode,24,2,19,0,180991.3,19182.4
qwen4b,1n,fj,decode,24,2,20,0,181287.5,18873.4
qwen4b,1n,fj,decode,24,2,21,0,181439.7,18726.6
qwen4b,1n,fj,decode,24,2,22,0,180617.0,19698.1
qwen4b,1n,fj,decode,24,2,23,0,177455.3,22854.9
qwen4b,1n,fj,decode,24,3,0,0,180830.0,18538.8
qwen4b,1n,fj,decode,24,3,1,0,181464.7,17970.5
qwen4b,1n,fj,decode,24,3,2,0,180225.1,19177.9
qwen4b,1n,fj,decode,24,3,3,0,180964.5,18437.9
qwen4b,1n,fj,decode,24,3,4,0,181509.8,17898.3
qwen4b,1n,fj,decode,24,3,5,0,181983.0,17418.8
qwen4b,1n,fj,decode,24,3,6,0,179865.7,19488.0
qwen4b,1n,fj,decode,24,3,7,0,181543.7,17812.7
qwen4b,1n,fj,decode,24,3,8,0,180325.4,19017.4
qwen4b,1n,fj,decode,24,3,9,0,180727.7,18611.9
qwen4b,1n,fj,decode,24,3,10,0,180345.1,19002.6
qwen4b,1n,fj,decode,24,3,11,0,181074.9,18270.0
qwen4b,1n,fj,decode,24,3,12,0,180670.5,18670.2
qwen4b,1n,fj,decode,24,3,13,0,181673.8,17672.1
qwen4b,1n,fj,decode,24,3,14,0,181143.3,18181.3
qwen4b,1n,fj,decode,24,3,15,0,181579.5,17747.2
qwen4b,1n,fj,decode,24,3,16,0,180612.0,18715.7
qwen4b,1n,fj,decode,24,3,17,0,182264.7,17052.0
qwen4b,1n,fj,decode,24,3,18,0,181927.7,17390.4
qwen4b,1n,fj,decode,24,3,19,0,182900.9,16412.2
qwen4b,1n,fj,decode,24,3,20,0,180614.1,18696.5
qwen4b,1n,fj,decode,24,3,21,0,180071.5,19262.2
qwen4b,1n,fj,decode,24,3,22,0,180004.1,19474.1
qwen4b,1n,fj,decode,24,3,23,0,177413.0,22060.6
qwen4b,4n,fj,decode,96,1,0,0,667819.3,214000.1
qwen4b,4n,fj,decode,96,1,1,0,670415.7,211422.5
qwen4b,4n,fj,decode,96,1,2,0,661178.5,220651.5
qwen4b,4n,fj,decode,96,1,3,0,659006.2,222830.3
qwen4b,4n,fj,decode,96,1,4,0,659968.6,221862.5
qwen4b,4n,fj,decode,96,1,5,0,657344.4,224497.2
qwen4b,4n,fj,decode,96,1,6,0,662015.4,219001.0
qwen4b,4n,fj,decode,96,1,7,0,671538.3,209497.0
qwen4b,4n,fj,decode,96,1,8,0,659902.6,221149.2
qwen4b,4n,fj,decode,96,1,9,0,670297.4,210773.7
qwen4b,4n,fj,decode,96,1,10,0,660607.8,220298.6
qwen4b,4n,fj,decode,96,1,11,0,784978.1,95274.9
qwen4b,4n,fj,decode,96,1,12,0,734592.9,145292.1
qwen4b,4n,fj,decode,96,1,13,0,786112.4,94189.9
qwen4b,4n,fj,decode,96,1,14,0,739932.2,140447.0
qwen4b,4n,fj,decode,96,1,15,0,787890.1,92522.8
qwen4b,4n,fj,decode,96,1,16,0,742010.1,138289.6
qwen4b,4n,fj,decode,96,1,17,0,799954.5,80554.0
qwen4b,4n,fj,decode,96,1,18,0,671278.7,209513.0
qwen4b,4n,fj,decode,96,1,19,0,735025.1,145190.0
qwen4b,4n,fj,decode,96,1,20,0,739605.7,140674.4
qwen4b,4n,fj,decode,96,1,21,0,792850.5,87584.1
qwen4b,4n,fj,decode,96,1,22,0,739927.6,140328.2
qwen4b,4n,fj,decode,96,1,23,0,805148.4,75288.0
qwen4b,4n,fj,decode,96,1,24,1,739332.2,141053.9
qwen4b,4n,fj,decode,96,1,25,1,756342.4,123939.0
qwen4b,4n,fj,decode,96,1,26,1,625692.0,254497.7
qwen4b,4n,fj,decode,96,1,27,1,800425.2,79915.1
qwen4b,4n,fj,decode,96,1,28,1,738834.6,141336.6
qwen4b,4n,fj,decode,96,1,29,1,790218.7,90079.2
qwen4b,4n,fj,decode,96,1,30,1,740181.5,139965.3
qwen4b,4n,fj,decode,96,1,31,1,787948.3,92238.1
qwen4b,4n,fj,decode,96,1,32,1,670185.8,210551.2
qwen4b,4n,fj,decode,96,1,33,1,802464.4,77818.2
qwen4b,4n,fj,decode,96,1,34,1,663695.3,216974.7
qwen4b,4n,fj,decode,96,1,35,1,742091.4,137863.9
qwen4b,4n,fj,decode,96,1,36,1,622947.0,257125.1
qwen4b,4n,fj,decode,96,1,37,1,789889.8,90290.2
qwen4b,4n,fj,decode,96,1,38,1,674987.1,205696.6
qwen4b,4n,fj,decode,96,1,39,1,613477.7,266747.0
qwen4b,4n,fj,decode,96,1,40,1,798315.8,81884.3
qwen4b,4n,fj,decode,96,1,41,1,742033.1,137889.7
qwen4b,4n,fj,decode,96,1,42,1,620042.2,259990.3
qwen4b,4n,fj,decode,96,1,43,1,795727.0,84249.9
qwen4b,4n,fj,decode,96,1,44,1,744169.3,135870.9
qwen4b,4n,fj,decode,96,1,45,1,615371.9,264622.6
qwen4b,4n,fj,decode,96,1,46,1,788014.2,92097.7
qwen4b,4n,fj,decode,96,1,47,1,721601.3,158213.7
qwen4b,4n,fj,decode,96,1,48,2,622324.8,257919.9
qwen4b,4n,fj,decode,96,1,49,2,800657.2,79490.2
qwen4b,4n,fj,decode,96,1,50,2,748148.3,131915.4
qwen4b,4n,fj,decode,96,1,51,2,618045.4,262118.1
qwen4b,4n,fj,decode,96,1,52,2,797181.5,82936.3
qwen4b,4n,fj,decode,96,1,53,2,624881.1,255267.0
qwen4b,4n,fj,decode,96,1,54,2,623175.7,257374.6
qwen4b,4n,fj,decode,96,1,55,2,794141.2,86106.8
qwen4b,4n,fj,decode,96,1,56,2,682454.7,198434.1
qwen4b,4n,fj,decode,96,1,57,2,616838.2,263699.5
qwen4b,4n,fj,decode,96,1,58,2,793540.5,86667.0
qwen4b,4n,fj,decode,96,1,59,2,666005.3,214814.6
qwen4b,4n,fj,decode,96,1,60,2,629170.3,251282.2
qwen4b,4n,fj,decode,96,1,61,2,791152.8,89067.0
qwen4b,4n,fj,decode,96,1,62,2,674109.4,206274.0
qwen4b,4n,fj,decode,96,1,63,2,741225.7,138628.0
qwen4b,4n,fj,decode,96,1,64,2,789697.1,90042.8
qwen4b,4n,fj,decode,96,1,65,2,665649.4,214752.2
qwen4b,4n,fj,decode,96,1,66,2,619742.0,260340.6
qwen4b,4n,fj,decode,96,1,67,2,798574.5,81473.2
qwen4b,4n,fj,decode,96,1,68,2,624161.6,255921.7
qwen4b,4n,fj,decode,96,1,69,2,618488.2,261595.6
qwen4b,4n,fj,decode,96,1,70,2,795569.6,84536.8
qwen4b,4n,fj,decode,96,1,71,2,663793.3,216864.7
qwen4b,4n,fj,decode,96,1,72,3,741608.1,138614.0
qwen4b,4n,fj,decode,96,1,73,3,777324.9,102752.5
qwen4b,4n,fj,decode,96,1,74,3,618201.3,262085.9
qwen4b,4n,fj,decode,96,1,75,3,740149.9,140061.4
qwen4b,4n,fj,decode,96,1,76,3,656239.3,224256.5
qwen4b,4n,fj,decode,96,1,77,3,623638.5,256649.0
qwen4b,4n,fj,decode,96,1,78,3,740188.5,140118.9
qwen4b,4n,fj,decode,96,1,79,3,626999.1,253305.6
qwen4b,4n,fj,decode,96,1,80,3,631015.8,249273.8
qwen4b,4n,fj,decode,96,1,81,3,745746.0,134535.0
qwen4b,4n,fj,decode,96,1,82,3,665661.6,215054.6
