model,numa,system,stage,batch,n_repeats,pp_tokens,tg_tokens,speed_pp_median,speed_tg_median,speed_total_median,speed_pp_std,speed_tg_std
llama3_8b,1n,fj,batch,1,3,64,32,40.24,2.237,6.04,0.07,0.021
llama3_8b,1n,fj,batch,4,3,64,32,45.06,8.866,19.09,0.24,0.014
llama3_8b,1n,fj,batch,8,3,64,32,44.46,16.902,28.82,0.69,0.023
llama3_8b,1n,fj,batch,16,3,64,32,40.78,24.348,33.23,0.51,0.087
llama3_8b,1n,fj,decode,1,3,64,64,43.94,2.267,4.31,0.29,0.003
llama3_8b,1n,fj,prefill,1,9,128,1,49.44,2.252,46.27,1.0,0.017
llama3_8b,1n,task,batch,1,3,64,32,29.76,1.092,3.05,0.04,0.003
llama3_8b,1n,task,batch,4,3,64,32,36.09,4.272,10.36,0.08,0.011
llama3_8b,1n,task,batch,8,3,64,32,36.54,8.082,16.81,0.03,0.01
llama3_8b,1n,task,batch,16,3,64,32,34.55,14.107,23.3,0.03,0.033
llama3_8b,1n,task,decode,1,3,64,64,29.54,1.095,2.11,0.15,0.002
llama3_8b,1n,task,prefill,1,9,128,1,34.14,1.096,29.59,0.8,0.002
llama3_8b,4n,fj,batch,1,3,64,32,33.06,1.497,4.12,1.96,0.055
llama3_8b,4n,fj,batch,4,3,64,32,41.11,5.396,12.82,1.54,0.247
llama3_8b,4n,fj,batch,8,3,64,32,41.55,10.944,21.5,1.57,0.917
llama3_8b,4n,fj,batch,16,3,64,32,32.51,16.181,24.33,1.06,1.418
llama3_8b,4n,fj,decode,1,3,64,64,33.1,1.497,2.86,2.27,0.001
llama3_8b,4n,fj,prefill,1,9,128,1,41.41,1.492,38.54,2.38,0.048
llama3_8b,4n,fjtp,batch,1,3,64,32,46.59,1.273,3.62,2.5,0.092
llama3_8b,4n,fjtp,batch,4,3,64,32,69.43,4.967,13.04,1.03,0.351
llama3_8b,4n,fjtp,batch,8,3,64,32,69.41,9.704,22.73,0.99,0.614
llama3_8b,4n,fjtp,batch,16,3,64,32,68.65,17.985,35.41,0.82,0.998
llama3_8b,4n,fjtp,decode,1,3,64,64,46.05,1.281,2.49,1.49,0.086
llama3_8b,4n,fjtp,prefill,1,9,128,1,70.95,1.272,59.69,5.69,0.076
llama3_8b,4n,task,batch,1,3,64,32,45.66,2.031,5.59,0.57,0.004
llama3_8b,4n,task,batch,4,3,64,32,63.74,6.875,17.01,0.72,0.012
llama3_8b,4n,task,batch,8,3,64,32,63.96,12.142,26.4,0.65,0.011
llama3_8b,4n,task,batch,16,3,64,32,61.07,19.26,35.43,1.27,0.012
llama3_8b,4n,task,decode,1,3,64,64,45.26,2.031,3.89,0.91,0.015
llama3_8b,4n,task,prefill,1,9,128,1,65.08,2.011,58.13,5.22,0.016
llama3_8b,8n,fj,batch,1,3,64,32,21.38,1.01,2.77,1.43,0.096
llama3_8b,8n,fj,batch,4,3,64,32,25.16,3.809,8.77,0.98,0.467
llama3_8b,8n,fj,batch,8,3,64,32,25.63,6.734,13.24,0.91,0.598
llama3_8b,8n,fj,batch,16,3,64,32,18.92,9.609,14.3,0.35,0.591
llama3_8b,8n,fj,decode,1,3,64,64,21.32,0.837,1.61,1.42,0.115
llama3_8b,8n,fj,prefill,1,9,128,1,24.55,0.932,22.33,1.16,0.074
llama3_8b,8n,fjtp,batch,1,3,64,32,38.27,0.943,2.7,2.04,0.093
llama3_8b,8n,fjtp,batch,4,3,64,32,77.14,3.639,9.98,2.75,0.301
llama3_8b,8n,fjtp,batch,8,3,64,32,78.43,6.779,17.34,3.22,0.572
llama3_8b,8n,fjtp,batch,16,3,64,32,75.78,12.832,28.76,3.68,1.024
llama3_8b,8n,fjtp,decode,1,3,64,64,38.2,0.896,1.75,2.67,0.077
llama3_8b,8n,fjtp,prefill,1,9,128,1,75.2,0.948,58.69,9.95,0.074
llama3_8b,8n,task,batch,1,3,64,32,37.49,2.097,5.66,0.38,0.005
llama3_8b,8n,task,batch,4,3,64,32,51.26,6.328,15.23,0.24,0.044
llama3_8b,8n,task,batch,8,3,64,32,50.55,10.373,22.06,0.63,0.058
llama3_8b,8n,task,batch,16,3,64,32,47.21,15.224,27.77,0.06,0.1
llama3_8b,8n,task,decode,1,3,64,64,37.21,2.097,3.97,0.3,0.005
llama3_8b,8n,task,prefill,1,9,128,1,50.79,2.05,46.4,4.33,0.047
qwen3_4b,1n,fj,batch,1,3,64,32,46.6,2.345,6.39,0.3,0.017
qwen3_4b,1n,fj,batch,4,3,64,32,47.24,7.208,16.57,0.73,0.113
qwen3_4b,1n,fj,batch,8,3,64,32,46.63,16.806,29.3,0.17,0.069
