mode,chunk_size0,total_tasks,pp_ts
taskflow,6912,1,6.246270
forkjoin,6912,1,164.041437
taskflow,3456,2,7.253105
forkjoin,3456,2,163.693938
taskflow,1152,6,13.501941
forkjoin,1152,6,164.066582
taskflow,576,12,17.889452
forkjoin,576,12,167.744665
taskflow,288,24,22.860433
forkjoin,288,24,168.992924
taskflow,144,48,27.366106
forkjoin,144,48,163.788910
taskflow,72,96,30.102755
forkjoin,72,96,165.077340
taskflow,36,192,30.949880
forkjoin,36,192,168.110916
taskflow,18,384,34.161977
forkjoin,18,384,165.917659
taskflow,9,768,34.491741
forkjoin,9,768,169.061659
